source_video,frame_number,timestamp_seconds,marker_raw_present,marker_raw_confidence,power_adapter_raw_present,power_adapter_raw_confidence,marker_stable_present,power_adapter_stable_present,marker_window_positive_count,power_adapter_window_positive_count,temporal_window_frames,minimum_positive_frames
T_20260715_015858_798765.mp4,145,4.833333,False,0.0,False,0.0,False,True,0,3,5,3
T_20260715_015858_798765.mp4,146,4.866667,False,0.0,False,0.0,False,False,0,2,5,3
T_20260715_015858_798765.mp4,147,4.9,False,0.0,True,0.253728,False,False,0,2,5,3
T_20260715_015858_798765.mp4,148,4.933333,False,0.0,True,0.26216,False,False,0,2,5,3
T_20260715_015858_798765.mp4,149,4.966667,False,0.0,False,0.0,False,False,0,2,5,3
T_20260715_015858_798765.mp4,150,5.0,False,0.0,True,0.263043,False,True,0,3,5,3
T_20260715_015858_798765.mp4,151,5.033333,False,0.0,False,0.0,False,True,0,3,5,3
T_20260715_015858_798765.mp4,152,5.066667,False,0.0,False,0.0,False,False,0,2,5,3
T_20260715_015858_798765.mp4,153,5.1,False,0.0,False,0.0,False,False,0,1,5,3
T_20260715_015858_798765.mp4,154,5.133333,False,0.0,True,0.257013,False,False,0,2,5,3
T_20260715_015858_798765.mp4,155,5.166667,False,0.0,True,0.250266,False,False,0,2,5,3
T_20260715_015858_798765.mp4,156,5.2,False,0.0,False,0.0,False,False,0,2,5,3
T_20260715_015858_798765.mp4,157,5.233333,False,0.0,False,0.0,False,False,0,2,5,3
T_20260715_015858_798765.mp4,158,5.266667,False,0.0,False,0.0,False,False,0,2,5,3
T_20260715_015858_798765.mp4,159,5.3,False,0.0,False,0.0,False,False,0,1,5,3
T_20260715_015858_798765.mp4,160,5.333333,False,0.0,False,0.0,False,False,0,0,5,3
T_20260715_015858_798765.mp4,161,5.366667,False,0.0,False,0.0,False,False,0,0,5,3
T_20260715_015858_798765.mp4,162,5.4,False,0.0,False,0.0,False,False,0,0,5,3
T_20260715_015858_798765.mp4,163,5.433333,False,0.0,False,0.0,False,False,0,0,5,3
